,percent_known,mean
2560766,"[0.31, 0.15578947368421053, 0.29098360655737704, 0, 0.3333333333333333, 0.18373333333333336, 0.2, 0.25, 0.21406250000000002, 0.2240909090909091, 0.263, 0.08333333333333333, 0.24875, 0.1542105263157895, 0.0915625, 0.196, 0.2569230769230769, 0.1111111111111111, 0.2461842105263158, 0, 0.12195121951219512, 0.26976470588235296, 0.2301666666666667, 0.24857142857142858, 0.24336283185840704, 0.116, 0.23654929577464792, 0.18444444444444447, 0.3333333333333333, 0.19874999999999998, 0.2, 0, 0.24840579710144928, 0.2569565217391304, 0.24880597014925376, 0.2872727272727273, 0.3394285714285714, 0.23254237288135599, 0.24485714285714286, 0.23455445544554457, 0.2723529411764706, 0.2899382716049383, 0.31105263157894736, 0.24625, 0.2507920792079208, 0, 0.15384615384615385, 0.20842105263157895, 0.10714285714285714, 0.30562500000000004, 0.337906976744186, 0.14376811594202898, 0.1703846153846154, 0.22946428571428573, 0.1543820224719101, 0.2782089552238806, 0.26585714285714285, 0.1564864864864865, 0.19766666666666666, 0.3333333333333333, 0.14285714285714285, 0, 0, 0]",0.20069565828121855
2560768,"[0.5, 0, 0.23879999999999998, 0, 0.4484615384615384, 0, 0, 0.14296296296296299, 0.3798245614035088, 0.21777777777777776, 0.28447368421052627, 0.17529411764705882, 0.21739130434782608, 0.30434782608695654, 0.34204081632653066, 0.34337500000000004, 0.22499999999999998, 0.42333333333333334, 0, 0.19, 0.27078740157480313, 0.3114975845410628, 0.25232558139534883, 0.16129032258064516, 0.21282608695652172, 0.21053333333333332, 0.20583333333333334, 0.21106194690265487, 0.1806060606060606, 0.32083333333333336, 0.4445454545454546, 0.24342465753424658, 0, 0.1963541666666667, 0.23026086956521744, 0.17323943661971833, 0.31295454545454543, 0.20500000000000002, 0.2225, 0.2525490196078432, 0.22024691358024695, 0.17943181818181816, 0.2384, 0.18723809523809523, 0.17142857142857143, 0.23578947368421055, 0.177, 0.23243243243243242, 0.20092592592592595, 0.2715789473684211, 0, 0.267979797979798, 0.30595744680851067, 0.33111111111111113, 0.15585714285714283, 0.24, 0.16849056603773585, 0.34478260869565214, 0.36363636363636365, 0.2122448979591837, 0.16108108108108107, 0.18297297297297296, 0.2937878787878788, 0.5, 0.1576, 0.30274193548387096, 0.13136363636363638, 0.25473684210526315]",0.2285341546592461
2560770,"[0.2925641025641026, 0.14285714285714285, 0.2, 0.17545454545454547, 0.10421052631578948, 0.2879032258064516, 0.2727272727272727, 0.3151923076923077, 0.24628571428571427, 0.24847457627118644, 0.3008695652173913, 0.23271604938271606, 0.15933333333333335, 0.28272727272727266, 0.3223076923076923, 0.29178947368421054, 0.2786206896551724, 0.29333333333333333, 0.2393150684931507, 0.21888888888888888, 0, 0.24708333333333332, 0.27225806451612905, 0.25472972972972974, 0.24643902439024393, 0.18700636942675158, 0.24, 0.3333333333333333, 0.24819277108433738, 0.19799999999999998, 0.25982142857142854, 0.2405, 0.19350993377483447, 0.2988607594936709, 0, 0.2331578947368421, 0.08090909090909092, 0.22199999999999998, 0.18829787234042553, 0.22514285714285714, 0.2581, 0.15560000000000002, 0.274421768707483, 0.238, 0.08705882352941176, 0.2374311926605505, 0.29013513513513517, 0.16666666666666666, 0.23203125000000002, 0.15596491228070175, 0.20333333333333334, 0.1757142857142857, 0.24346534653465346, 0.2, 0.22926315789473686, 0.24714285714285714, 0.2716666666666667, 0.18444444444444447, 0.5714285714285714]",0.2287573162020369
2560169,[],
2338453,"[0.19725, 0.185, 0, 0.1111111111111111, 0.32666666666666666, 0, 0.2, 0, 0.24166666666666667, 0.2375, 0.10666666666666666, 0, 0, 0.2785714285714286, 0.296, 0.45933333333333337, 0.25925925925925924, 0.1611111111111111, 0.24125000000000002, 0.2, 0.24, 0.3125, 0.14285714285714285, 0.16666666666666666, 0.09090909090909091, 0.3725, 0.3288888888888889, 0.15384615384615385, 0.07692307692307693, 0, 0.3333333333333333, 0.3333333333333333, 0, 0.18181818181818182, 0.2857142857142857, 0.3333333333333333, 0.4328, 0.4, 0.16666666666666666, 0.1, 0.21444444444444447, 0.36125, 0.24125000000000002, 0.2, 0.3333333333333333, 0.16666666666666666, 0.22055555555555553, 0.2222222222222222]",0.2065249712478879
2561780,"[0.15625, 0.14285714285714285, 0.05555555555555555, 0.3333333333333333, 0.07142857142857142, 0.2240909090909091, 0, 0.23076923076923078, 0.5, 0.125, 0.07692307692307693, 0.3333333333333333, 0.23809523809523808, 0.15, 0.3145454545454545, 0.07461538461538461, 0, 0.14956521739130435, 0.2727272727272727, 0, 0, 0.27151515151515154, 0.2384, 0.24656250000000002, 0.4444444444444444, 0.14285714285714285, 0.1, 0.3402631578947368, 0.281, 0.392, 0.1503030303030303, 0.3333333333333333, 0.30153846153846153, 0.4791666666666667, 0.18857142857142856, 0.16666666666666666, 0.3333333333333333, 0, 0.25943396226415094, 0, 0.29654867256637174, 0.125, 0.07142857142857142, 0.096, 0, 0.25, 0.18210526315789474, 0.15384615384615385, 0.25894736842105265, 0.2402702702702703, 0.2, 0.3157692307692308, 0.25, 0, 0.22499999999999998, 0.2222222222222222, 0.19096153846153846, 0.24541666666666664, 0.17073170731707318, 0.23076923076923078, 0.49, 0.16666666666666666, 0, 0.13333333333333333, 0.18181818181818182, 0.14666666666666667, 0.34461538461538466, 0.11764705882352941, 0.09090909090909091, 0.18518518518518517, 0.14285714285714285, 0, 0.49, 0.2978571428571428, 0.11764705882352941, 0.16666666666666666, 0.2475, 0, 0.25, 0.21428571428571427, 0.125, 0.16666666666666666, 0]",0.19179298621837987
2734138,[],
2734140,[],
2734142,[],
2476118,[],
